City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temp (F),Wind Speed (mph)
Privolzhsk,100,RU,1581401183,89,57.38,41.29,26.8,18.88
Zhezkazgan,0,KZ,1581401183,84,47.8,67.71,-0.4,4.47
Moron,0,AR,1581401043,87,-34.65,-58.62,69.8,3.36
Noumea,99,NC,1581401184,88,-22.28,166.46,82.99,10.29
Orange,1,US,1581401184,100,33.7,-117.77,66.2,3.36
Buala,100,SB,1581401184,84,-8.14,159.59,80.31,10.42
Bezhetsk,100,RU,1581401184,97,57.79,36.7,36.09,12.35
Liepaja,90,LV,1581401185,93,56.54,21.04,41.0,16.11
Road Town,1,VG,1581401096,65,18.42,-64.62,78.8,10.29
Coahuayana Viejo,35,MX,1581401185,89,18.73,-103.68,69.19,3.13
Nantucket,90,US,1581401185,96,41.28,-70.1,44.6,11.03
Xixiang,0,CN,1581401185,24,35.16,112.86,61.65,2.39
Khovd,13,MN,1581401186,46,48.01,91.64,36.12,6.4
Oktyabrskoye,40,RU,1581401186,77,43.06,44.74,-2.2,2.24
Betafo,43,MG,1581401186,56,-19.83,46.85,69.58,4.65
Taltal,65,CL,1581401186,89,-25.4,-70.48,59.58,5.44
Port Macquarie,90,AU,1581401187,78,-31.43,152.92,80.6,13.87
Lata,75,PT,1581401187,100,40.16,-8.33,55.99,3.36
Burnie,99,AU,1581401187,70,-41.07,145.92,78.01,8.99
Garni,21,AM,1581401187,44,40.12,44.73,17.6,3.36
Tornio,75,FI,1581401188,97,65.85,24.13,32.0,10.29
Haapiti,40,PF,1581401188,70,-17.57,-149.87,84.2,3.36
Kodinar,0,IN,1581401188,29,20.79,70.7,88.57,10.11
Puerto Escondido,8,MX,1581401188,68,15.85,-97.07,70.56,4.05
Westport,90,US,1581401161,87,41.14,-73.36,45.0,3.36
Acapulco de Juarez,5,MX,1581400916,78,16.86,-99.89,78.8,3.36
Trinidad,100,BO,1581401189,97,-14.83,-64.9,71.01,3.85
Rorvik,40,NO,1581401190,86,64.86,11.24,37.4,10.29
Richards Bay,45,ZA,1581401191,69,-28.78,32.04,75.7,15.57
Cap-aux-Meules,90,CA,1581401192,92,47.38,-61.86,26.6,21.92
Okahandja,4,NA,1581401193,40,-21.98,16.92,75.0,5.82
Nisia Floresta,20,BR,1581401194,78,-6.09,-35.21,82.4,10.29
Truckee,1,US,1581401194,68,39.33,-120.18,39.0,4.32
Mountain Home,1,US,1581401194,58,43.13,-115.69,33.8,5.82
Silveira,40,PT,1581401194,93,39.11,-9.36,57.0,3.36
Aklavik,75,CA,1581401194,75,68.22,-135.01,-18.4,2.24
Hamilton,90,US,1581400934,91,39.18,-84.53,37.4,3.36
Taoudenni,100,ML,1581401195,22,22.68,-3.98,68.9,6.13
Kushmurun,82,KZ,1581401195,89,52.45,64.63,5.2,15.52
Brownsville,90,US,1581401195,83,25.9,-97.5,75.0,12.75
Luderitz,0,NA,1581401195,77,-26.65,15.16,64.4,2.24
Gao,0,ML,1581401196,15,16.64,1.64,66.24,14.18
Cabadiangan,22,PH,1581401196,58,9.75,122.47,84.79,18.07
Khrebtovaya,55,RU,1581401196,85,56.7,104.25,5.54,10.25
Port Blair,0,IN,1581401196,77,11.67,92.75,81.23,18.32
Zhigalovo,100,RU,1581401197,83,54.81,105.16,7.97,8.03
Zhigansk,100,RU,1581401197,95,66.77,123.37,-1.91,6.11
Bima,86,ID,1581401197,78,-8.47,118.72,82.45,2.59
Port Hawkesbury,90,CA,1581401197,94,45.62,-61.35,33.01,17.22
Kavaratti,40,IN,1581401198,70,10.57,72.64,84.2,4.7
Panlaitan,0,PH,1581401198,60,12.12,119.85,83.86,10.33
Cabedelo,20,BR,1581401198,88,-6.98,-34.83,78.8,5.82
Kupang,40,ID,1581401199,79,-10.17,123.58,84.2,10.29
Zhob,100,PK,1581400934,55,31.34,69.45,47.39,7.58
Pitimbu,20,BR,1581401199,88,-7.47,-34.81,78.8,5.82
Chifeng,0,CN,1581400983,17,42.27,118.96,50.09,17.56
Muros,75,ES,1581401199,93,42.78,-9.06,57.0,4.7
Pokhara,0,NP,1581401178,33,28.23,83.98,70.84,3.94
Eilat,20,IL,1581401202,71,29.56,34.95,50.0,4.59
Fohnsdorf,96,AT,1581401202,86,47.22,14.68,42.01,5.82
Kaduna,7,NG,1581400973,13,10.52,7.44,66.97,14.74
Natal,20,BR,1581401202,78,-5.79,-35.21,82.4,10.29
Collie,0,AU,1581401203,17,-33.37,116.15,91.99,4.47
Medea,20,DZ,1581401203,100,36.26,2.75,41.0,3.36
Ilulissat,0,GL,1581401164,49,69.22,-51.1,-0.4,12.75
Ignacio Zaragoza,100,MX,1581401203,46,28.38,-107.22,45.39,30.02
Severo-Kuril'sk,100,RU,1581401203,89,50.68,156.12,19.92,26.04
Talaya,33,RU,1581401204,45,61.38,152.75,-20.09,0.65
Mragowo,75,PL,1581401204,83,53.86,21.31,33.8,11.41
Talnakh,20,RU,1581401204,75,69.49,88.4,-16.6,6.71
Vidim,20,RU,1581401204,85,56.41,103.11,4.46,9.57
Batagay-Alyta,100,RU,1581401205,96,67.8,130.41,-23.12,4.12
Brae,27,GB,1581401205,65,60.4,-1.35,42.8,12.75
Lichinga,98,MZ,1581401205,83,-13.31,35.24,73.38,2.53
Cayenne,71,GF,1581401206,94,4.93,-52.33,75.2,9.17
Makarov,8,RU,1581401206,78,48.63,142.8,19.42,9.82
Macusani,100,PE,1581401206,95,-14.08,-70.43,36.05,3.11
Zeya,100,RU,1581401206,88,53.75,127.27,11.84,9.01
Romitan,75,UZ,1581401206,86,39.93,64.38,33.8,9.17
Cascais,40,PT,1581400928,93,38.7,-9.42,57.0,3.36
Charyshskoye,100,RU,1581401207,94,51.4,83.56,4.95,5.53
Sawtell,75,AU,1581401207,88,-30.38,153.1,82.4,5.82
Shipley,40,GB,1581401208,73,53.83,-1.77,41.0,31.09
